id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
1,BREEZE,BR20200520008,5/20/20,($515.00),,,,,,,,,,($515.00),,,
2,BREEZE,BR20200525017,5/25/20,($164.80),,,,,,,,,,($164.80),,,
3,BREEZE,BR20210607018,6/7/21,"($2,266.00)",,,,,,,,,,"($2,266.00)",,,
4,BREEZE,BR20210629001,6/29/21,($206.00),,,,,,,,,,($206.00),,,
5,BREEZE,BR20210701014,7/1/21,"($1,442.00)",,,,,,,,,,"($1,442.00)",,,
6,BREEZE,BR20210715004,7/15/21,"$78,884.37 ","$80,754.00 ","$51,073.00 ",,"($50,094.26)",,,($159.86),"($1,163.12)","($1,113.39)",($412.00),,,
7,BREEZE,BR20210719005,7/19/21,"$59,788.91 ","$61,720.00 ","$38,544.00 ",,"($38,100.32)",,,($202.39),($817.12),($840.26),($515.00),,,
8,BREEZE,BR20210729004,7/29/21,"$87,396.44 ","$80,470.00 ","$65,815.00 ",,"($55,588.30)",,,($259.37),"($1,194.12)","($1,434.77)",($412.00),,,
9,BREEZE,BR20210802005,8/2/21,"$42,714.91 ","$50,235.00 ","$21,570.00 ",,"($27,285.90)",,,($126.62),($692.34),($470.23),($515.00),,,
10,BREEZE,BR20210807005,8/7/21,"$39,374.53 ","$37,940.00 ","$28,535.00 ",,"($25,260.50)",,,($164.39),($538.52),($622.06),($515.00),,,
11,BREEZE,BR20210812004,8/12/21,"$39,599.44 ","$58,546.00 ","$7,710.00 ",,"($25,462.28)",,$375.00 ,($115.57),($873.63),($168.08),($412.00),,,
12,BREEZE,BR20210816005,8/16/21,"$50,176.88 ","$45,730.00 ","$38,695.00 ",,"($32,081.50)",,,($194.17),($613.90),($843.55),($515.00),,,
13,BREEZE,BR20210821005,8/21/21,"$62,342.36 ","$70,705.00 ","$33,770.00 ",,"($39,700.50)",,,($202.18),($978.77),($736.19),($515.00),,,
14,BREEZE,BR20210826004,8/26/21,"$30,946.69 ","$29,104.00 ","$23,095.00 ",,"($19,835.62)",,,($66.48),($434.74),($503.47),($412.00),,,
15,BREEZE,BR20210830005,8/30/21,"$78,700.83 ","$73,718.00 ","$58,159.00 ",,"($50,113.26)",,,($153.03),"($1,024.01)","($1,267.87)",($618.00),,,
16,BREEZE,BR20210904005,9/4/21,"$34,639.04 ","$45,338.00 ","$13,213.00 ",,"($22,249.38)",,,($221.75),($637.79),($288.04),($515.00),,,
17,BREEZE,BR20210909004,9/9/21,"$35,398.74 ","$43,740.00 ","$15,796.00 ",,"($22,623.68)",,,($135.34),($621.89),($344.35),($412.00),,,
18,BREEZE,BR20210913005,9/13/21,"$34,129.50 ","$43,007.00 ","$14,530.00 ",,"($21,864.06)",,,($112.59),($599.10),($316.75),($515.00),,,
19,BREEZE,BR20210918005,9/18/21,"$31,580.90 ","$38,383.00 ","$14,865.00 ",,"($20,234.24)",,,($79.45),($514.35),($324.06),($515.00),,,
20,BREEZE,BR20210923004,9/23/21,"$45,335.48 ","$52,313.00 ","$23,638.00 ",,"($28,861.38)",,,($76.32),($750.51),($515.31),($412.00),,,
21,BREEZE,BR20210927005,9/27/21,"$35,472.24 ","$35,450.00 ","$24,595.00 ",,"($22,817.10)",,,($185.85),($477.44),($536.17),($556.20),,,
22,BREEZE,BR20211002005,10/2/21,"$34,337.81 ","$37,065.00 ","$20,880.00 ",,"($22,019.10)",,,($104.42),($513.49),($455.18),($515.00),,,
